,filter_interaction,example_no,motif1,motif1_qval,motif2,motif2_qval,mean_distance,mean_distance_bg,num_obs,num_obs_bg,pval,adjusted_pval,TF1,TF2,TF_Interaction,TF1_Family,TF2_Family,Family_Interaction
10,filter1$\longleftrightarrow$filter36,233,MYB_tnt.MYB51_col_a_m1,0.00363722,C2C2dof_tnt.OBP1_col_a_m1,0.000408049,6.0,84.0,2967.0,3137.0,1.0855416088919359e-200,2.5646413938076027e-198,MYB51,OBP1,MYB51$\longleftrightarrow$OBP1,MYB,C2C2dof,MYB$\longleftrightarrow$C2C2dof
11,filter1$\longleftrightarrow$filter37,234,MYB_tnt.MYB51_col_a_m1,0.00363722,TCP_tnt.TCP20_col_a_m1,0.0390168,6.0,168.0,2155.0,2369.0,5.64824446468718e-122,7.64513422647346e-121,MYB51,TCP20,MYB51$\longleftrightarrow$TCP20,MYB,TCP,MYB$\longleftrightarrow$TCP
12,filter1$\longleftrightarrow$filter38,235,MYB_tnt.MYB51_col_a_m1,0.00363722,C2C2dof_tnt.OBP3_colamp_a_m1,0.0175329,72.0,42.0,2500.0,3440.0,9.173373008749191e-88,4.154716238260264e-87,MYB51,OBP3,MYB51$\longleftrightarrow$OBP3,MYB,C2C2dof,MYB$\longleftrightarrow$C2C2dof
13,filter1$\longleftrightarrow$filter39,236,MYB_tnt.MYB51_col_a_m1,0.00363722,C2C2dof_tnt.OBP1_col_a_m1,0.0170213,144.0,288.0,2547.0,3110.0,1.9965554178682015e-136,4.457601563535982e-135,MYB51,OBP1,MYB51$\longleftrightarrow$OBP1,MYB,C2C2dof,MYB$\longleftrightarrow$C2C2dof
14,filter1$\longleftrightarrow$filter40,237,MYB_tnt.MYB51_col_a_m1,0.00363722,BZR_tnt.BZR1_col_a_m1,0.0264899,234.0,6.0,1120.0,857.0,7.013069425661477e-45,1.0279506386581528e-44,MYB51,BZR1,MYB51$\longleftrightarrow$BZR1,MYB,BZR,MYB$\longleftrightarrow$BZR
15,filter1$\longleftrightarrow$filter41,238,MYB_tnt.MYB51_col_a_m1,0.00363722,ZFHD_tnt.ATHB23_col_b_m1,0.00558134,294.0,36.0,1526.0,2679.0,4.2186585459405163e-75,1.3155087388037213e-74,MYB51,ATHB23,MYB51$\longleftrightarrow$ATHB23,MYB,ZFHD,MYB$\longleftrightarrow$ZFHD
16,filter1$\longleftrightarrow$filter42,239,MYB_tnt.MYB51_col_a_m1,0.00363722,C2H2_tnt.At5g22890_col_a_m1,0.0437396,54.0,306.0,1271.0,1628.0,2.185723195636389e-91,1.1068311459118954e-90,MYB51,At5g22890,MYB51$\longleftrightarrow$At5g22890,MYB,C2H2,MYB$\longleftrightarrow$C2H2
17,filter1$\longleftrightarrow$filter44,241,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G40260_colamp_a_m1,0.00290962,6.0,498.0,1016.0,1554.0,2.937129457554282e-87,1.3079184431617659e-86,MYB51,AT2G40260,MYB51$\longleftrightarrow$AT2G40260,MYB,G2like,MYB$\longleftrightarrow$G2like
18,filter1$\longleftrightarrow$filter46,243,MYB_tnt.MYB51_col_a_m1,0.00363722,bHLH_tnt.bHLH157_col_a_m1,0.00733547,204.0,60.0,1782.0,1801.0,1.2827844140050656e-104,9.816549278905668e-104,MYB51,bHLH157,MYB51$\longleftrightarrow$bHLH157,MYB,bHLH,MYB$\longleftrightarrow$bHLH
19,filter1$\longleftrightarrow$filter62,259,MYB_tnt.MYB51_col_a_m1,0.00363722,Trihelix_tnt.AT1G76880_col_a_m1,0.00509108,162.0,390.0,3088.0,2942.0,2.414428815185125e-90,1.1892755126806488e-89,MYB51,AT1G76880,MYB51$\longleftrightarrow$AT1G76880,MYB,Trihelix,MYB$\longleftrightarrow$Trihelix
20,filter1$\longleftrightarrow$filter68,265,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G40260_colamp_a_m1,0.00817143,276.0,144.0,2592.0,3820.0,4.71899256235877e-77,1.5547309674262135e-76,MYB51,AT2G40260,MYB51$\longleftrightarrow$AT2G40260,MYB,G2like,MYB$\longleftrightarrow$G2like
21,filter1$\longleftrightarrow$filter72,269,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G20400_col_a_m1,0.000804975,294.0,210.0,2514.0,2002.0,1.0087419545145927e-118,1.2091875421552232e-117,MYB51,AT2G20400,MYB51$\longleftrightarrow$AT2G20400,MYB,G2like,MYB$\longleftrightarrow$G2like
22,filter1$\longleftrightarrow$filter74,271,MYB_tnt.MYB51_col_a_m1,0.00363722,MYB_tnt.MYB39_colamp_a_m1,0.000219562,108.0,306.0,2725.0,3325.0,2.953493612657968e-68,7.651055821945303e-68,MYB51,MYB39,MYB51$\longleftrightarrow$MYB39,MYB,MYB,MYB$\longleftrightarrow$MYB
23,filter1$\longleftrightarrow$filter76,273,MYB_tnt.MYB51_col_a_m1,0.00363722,REM_tnt.REM19_colamp_a_m1,0.019425099999999997,228.0,138.0,2705.0,3522.0,1.2935595123674453e-53,2.306960239322343e-53,MYB51,REM19,MYB51$\longleftrightarrow$REM19,MYB,REM,MYB$\longleftrightarrow$REM
24,filter1$\longleftrightarrow$filter77,274,MYB_tnt.MYB51_col_a_m1,0.00363722,C2C2dof_tnt.AT5G02460_colamp_a_m1,0.011696,66.0,126.0,2925.0,3698.0,3.942438746307046e-72,1.1363808577975544e-71,MYB51,AT5G02460,MYB51$\longleftrightarrow$AT5G02460,MYB,C2C2dof,MYB$\longleftrightarrow$C2C2dof
25,filter1$\longleftrightarrow$filter79,276,MYB_tnt.MYB51_col_a_m1,0.00363722,WRKY_tnt.WRKY31_col_a_m1,0.011571399999999999,144.0,138.0,1712.0,2697.0,2.4920568946873564e-43,3.5413153203813996e-43,MYB51,WRKY31,MYB51$\longleftrightarrow$WRKY31,MYB,WRKY,MYB$\longleftrightarrow$WRKY
26,filter1$\longleftrightarrow$filter80,277,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G40260_colamp_a_m1,0.00308251,30.0,174.0,1236.0,1390.0,1.2367560913468623e-104,9.475476798915762e-104,MYB51,AT2G40260,MYB51$\longleftrightarrow$AT2G40260,MYB,G2like,MYB$\longleftrightarrow$G2like
27,filter1$\longleftrightarrow$filter82,279,MYB_tnt.MYB51_col_a_m1,0.00363722,WRKY_tnt.WRKY7_colamp_a_m1,0.026701599999999995,186.0,84.0,2894.0,3690.0,8.998116073869557e-65,2.1208329451090337e-64,MYB51,WRKY7,MYB51$\longleftrightarrow$WRKY7,MYB,WRKY,MYB$\longleftrightarrow$WRKY
28,filter1$\longleftrightarrow$filter84,281,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G40260_colamp_a_m1,0.015408600000000001,246.0,114.0,1653.0,1819.0,1.2205210467306056e-68,3.195537070565684e-68,MYB51,AT2G40260,MYB51$\longleftrightarrow$AT2G40260,MYB,G2like,MYB$\longleftrightarrow$G2like
29,filter1$\longleftrightarrow$filter86,283,MYB_tnt.MYB51_col_a_m1,0.00363722,NAC_tnt.ATAF1_col_a_m1,0.00480392,90.0,360.0,999.0,1032.0,4.647107080336803e-62,1.0238133164105869e-61,MYB51,ATAF1,MYB51$\longleftrightarrow$ATAF1,MYB,NAC,MYB$\longleftrightarrow$NAC
30,filter1$\longleftrightarrow$filter87,284,MYB_tnt.MYB51_col_a_m1,0.00363722,WRKY_tnt.WRKY7_colamp_a_m1,0.0009269339999999999,72.0,288.0,2736.0,3051.0,3.006726700308938e-81,1.1207517711937563e-80,MYB51,WRKY7,MYB51$\longleftrightarrow$WRKY7,MYB,WRKY,MYB$\longleftrightarrow$WRKY
31,filter1$\longleftrightarrow$filter93,290,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G40260_colamp_a_m1,0.0005813880000000001,234.0,72.0,2108.0,3387.0,1.2466714228561565e-36,1.573353580865666e-36,MYB51,AT2G40260,MYB51$\longleftrightarrow$AT2G40260,MYB,G2like,MYB$\longleftrightarrow$G2like
32,filter1$\longleftrightarrow$filter94,291,MYB_tnt.MYB51_col_a_m1,0.00363722,WRKY_tnt.WRKY31_col_a_m1,0.0119128,210.0,282.0,1469.0,1984.0,3.578707899614775e-87,1.5881738540845076e-86,MYB51,WRKY31,MYB51$\longleftrightarrow$WRKY31,MYB,WRKY,MYB$\longleftrightarrow$WRKY
33,filter1$\longleftrightarrow$filter95,292,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G20400_col_a_m1,0.039337300000000006,234.0,138.0,1768.0,2082.0,1.009376453935581e-85,4.3016850253981425e-85,MYB51,AT2G20400,MYB51$\longleftrightarrow$AT2G20400,MYB,G2like,MYB$\longleftrightarrow$G2like
34,filter1$\longleftrightarrow$filter96,293,MYB_tnt.MYB51_col_a_m1,0.00363722,WRKY_tnt.WRKY7_colamp_a_m1,0.00616182,36.0,288.0,2875.0,3675.0,3.8128574281538374e-66,9.304088154259337e-66,MYB51,WRKY7,MYB51$\longleftrightarrow$WRKY7,MYB,WRKY,MYB$\longleftrightarrow$WRKY
35,filter1$\longleftrightarrow$filter98,295,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G40260_colamp_a_m1,0.00828286,198.0,42.0,2432.0,2434.0,1.8608096810839648e-83,7.423813630950274e-83,MYB51,AT2G40260,MYB51$\longleftrightarrow$AT2G40260,MYB,G2like,MYB$\longleftrightarrow$G2like
36,filter1$\longleftrightarrow$filter102,299,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G40260_colamp_a_m1,0.00864337,12.0,30.0,3266.0,4423.0,1.0800081348881122e-35,1.340493428669035e-35,MYB51,AT2G40260,MYB51$\longleftrightarrow$AT2G40260,MYB,G2like,MYB$\longleftrightarrow$G2like
37,filter1$\longleftrightarrow$filter103,300,MYB_tnt.MYB51_col_a_m1,0.00363722,C2C2dof_tnt.AT5G66940_col_a_m1,0.00129579,348.0,498.0,1572.0,1818.0,2.1676214966614766e-32,2.5589237510329094e-32,MYB51,AT5G66940,MYB51$\longleftrightarrow$AT5G66940,MYB,C2C2dof,MYB$\longleftrightarrow$C2C2dof
38,filter1$\longleftrightarrow$filter105,302,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G40260_colamp_a_m1,0.00104842,108.0,12.0,2095.0,2475.0,1.4806241134318868e-92,7.786009603372698e-92,MYB51,AT2G40260,MYB51$\longleftrightarrow$AT2G40260,MYB,G2like,MYB$\longleftrightarrow$G2like
39,filter1$\longleftrightarrow$filter107,304,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G40260_colamp_a_m1,0.000528327,42.0,120.0,3091.0,3901.0,4.885041949543344e-44,7.038837335591729e-44,MYB51,AT2G40260,MYB51$\longleftrightarrow$AT2G40260,MYB,G2like,MYB$\longleftrightarrow$G2like
40,filter1$\longleftrightarrow$filter113,310,MYB_tnt.MYB51_col_a_m1,0.00363722,MYB_tnt.MYB67_col_a_m1,0.00826775,36.0,222.0,1056.0,1276.0,7.48228391545754e-58,1.4710969465494823e-57,MYB51,MYB67,MYB51$\longleftrightarrow$MYB67,MYB,MYB,MYB$\longleftrightarrow$MYB
41,filter1$\longleftrightarrow$filter116,313,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G40260_colamp_a_m1,0.00218549,156.0,102.0,2212.0,3349.0,2.3881657526859485e-30,2.744479153657134e-30,MYB51,AT2G40260,MYB51$\longleftrightarrow$AT2G40260,MYB,G2like,MYB$\longleftrightarrow$G2like
42,filter1$\longleftrightarrow$filter118,315,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G40260_colamp_a_m1,0.00599276,282.0,330.0,2761.0,2866.0,1.6137850461568735e-120,2.0741367843484097e-119,MYB51,AT2G40260,MYB51$\longleftrightarrow$AT2G40260,MYB,G2like,MYB$\longleftrightarrow$G2like
43,filter1$\longleftrightarrow$filter119,316,MYB_tnt.MYB51_col_a_m1,0.00363722,MYB_tnt.MYB39_colamp_a_m1,0.00134307,348.0,264.0,2735.0,2697.0,1.3662679683238772e-154,5.191019292514754e-153,MYB51,MYB39,MYB51$\longleftrightarrow$MYB39,MYB,MYB,MYB$\longleftrightarrow$MYB
44,filter1$\longleftrightarrow$filter120,317,MYB_tnt.MYB51_col_a_m1,0.00363722,WRKY_tnt.WRKY31_col_a_m1,0.0177348,288.0,120.0,891.0,1060.0,9.543596059824685e-29,1.0768451476325285e-28,MYB51,WRKY31,MYB51$\longleftrightarrow$WRKY31,MYB,WRKY,MYB$\longleftrightarrow$WRKY
45,filter1$\longleftrightarrow$filter124,321,MYB_tnt.MYB51_col_a_m1,0.00363722,Trihelix_tnt.AT2G33550_col_a_m1,0.00273708,84.0,6.0,979.0,1231.0,5.16484308447488e-57,9.961699723863232e-57,MYB51,AT2G33550,MYB51$\longleftrightarrow$AT2G33550,MYB,Trihelix,MYB$\longleftrightarrow$Trihelix
46,filter1$\longleftrightarrow$filter130,327,MYB_tnt.MYB51_col_a_m1,0.00363722,NAC_tnt.ANAC042_col_a_m1,0.00291876,522.0,60.0,1121.0,1066.0,1.0885651870656391e-61,2.377280006845531e-61,MYB51,ANAC042,MYB51$\longleftrightarrow$ANAC042,MYB,NAC,MYB$\longleftrightarrow$NAC
47,filter1$\longleftrightarrow$filter135,332,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G40260_colamp_a_m1,0.015902200000000002,192.0,18.0,3760.0,4617.0,1.4131082356212375e-32,1.6735261040523477e-32,MYB51,AT2G40260,MYB51$\longleftrightarrow$AT2G40260,MYB,G2like,MYB$\longleftrightarrow$G2like
48,filter1$\longleftrightarrow$filter136,333,MYB_tnt.MYB51_col_a_m1,0.00363722,AP2EREBP_tnt.DEAR5_col_a_m1,0.00816865,90.0,114.0,1324.0,1231.0,3.443651190814323e-75,1.0764205815116985e-74,MYB51,DEAR5,MYB51$\longleftrightarrow$DEAR5,MYB,AP2EREBP,MYB$\longleftrightarrow$AP2EREBP
49,filter1$\longleftrightarrow$filter137,334,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G40260_colamp_a_m1,0.00879852,96.0,174.0,1468.0,2223.0,8.139197383764742e-113,8.129187609887704e-112,MYB51,AT2G40260,MYB51$\longleftrightarrow$AT2G40260,MYB,G2like,MYB$\longleftrightarrow$G2like
50,filter1$\longleftrightarrow$filter143,340,MYB_tnt.MYB51_col_a_m1,0.00363722,MYBrelated_tnt.TBP3_colamp_a_m1,0.029313799999999997,294.0,498.0,954.0,878.0,1.1445877965220455e-40,1.5444209582562264e-40,MYB51,TBP3,MYB51$\longleftrightarrow$TBP3,MYB,MYBrelated,MYB$\longleftrightarrow$MYBrelated
51,filter1$\longleftrightarrow$filter145,342,MYB_tnt.MYB51_col_a_m1,0.00363722,NAC_tnt.ATAF1_col_a_m1,0.041806,6.0,198.0,1270.0,1187.0,2.0622040949831748e-53,3.6611941536017724e-53,MYB51,ATAF1,MYB51$\longleftrightarrow$ATAF1,MYB,NAC,MYB$\longleftrightarrow$NAC
52,filter1$\longleftrightarrow$filter147,344,MYB_tnt.MYB51_col_a_m1,0.00363722,TCP_tnt.TCP1_col_a_m1,0.00245302,210.0,300.0,1988.0,1498.0,1.4745946755592204e-103,1.0862178692866502e-102,MYB51,TCP1,MYB51$\longleftrightarrow$TCP1,MYB,TCP,MYB$\longleftrightarrow$TCP
53,filter1$\longleftrightarrow$filter150,347,MYB_tnt.MYB51_col_a_m1,0.00363722,WRKY_tnt.WRKY31_col_a_m1,0.00014247,42.0,498.0,1340.0,2086.0,1.2826652113835622e-78,4.4453930108594105e-78,MYB51,WRKY31,MYB51$\longleftrightarrow$WRKY31,MYB,WRKY,MYB$\longleftrightarrow$WRKY
54,filter1$\longleftrightarrow$filter151,348,MYB_tnt.MYB51_col_a_m1,0.00363722,bZIP_tnt.TGA2_col_m1,0.012859700000000002,216.0,276.0,1940.0,1824.0,2.508457311838328e-88,1.1558473159584125e-87,MYB51,TGA2,MYB51$\longleftrightarrow$TGA2,MYB,bZIP,MYB$\longleftrightarrow$bZIP
55,filter1$\longleftrightarrow$filter152,349,MYB_tnt.MYB51_col_a_m1,0.00363722,AP2EREBP_tnt.RAP21_colamp_a_m1,0.0148232,180.0,162.0,822.0,442.0,3.386984020393044e-27,3.757403770254181e-27,MYB51,RAP21,MYB51$\longleftrightarrow$RAP21,MYB,AP2EREBP,MYB$\longleftrightarrow$AP2EREBP
56,filter1$\longleftrightarrow$filter157,354,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G20400_col_a_m1,0.00998654,42.0,372.0,2690.0,2830.0,7.34273145763536e-137,1.6622204278835168e-135,MYB51,AT2G20400,MYB51$\longleftrightarrow$AT2G20400,MYB,G2like,MYB$\longleftrightarrow$G2like
57,filter1$\longleftrightarrow$filter160,357,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G40260_colamp_a_m1,0.0330733,156.0,438.0,2653.0,3194.0,4.591713620726739e-47,7.053401913668668e-47,MYB51,AT2G40260,MYB51$\longleftrightarrow$AT2G40260,MYB,G2like,MYB$\longleftrightarrow$G2like
58,filter1$\longleftrightarrow$filter161,358,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G20400_col_a_m1,0.048160699999999994,54.0,108.0,2945.0,3404.0,1.2399384386535914e-168,8.015801030778492e-167,MYB51,AT2G20400,MYB51$\longleftrightarrow$AT2G20400,MYB,G2like,MYB$\longleftrightarrow$G2like
59,filter1$\longleftrightarrow$filter171,368,MYB_tnt.MYB51_col_a_m1,0.00363722,BZR_tnt.BZR1_col_a_m1,0.00023313099999999997,36.0,480.0,1530.0,1843.0,8.080100380253792e-93,4.2819259519175275e-92,MYB51,BZR1,MYB51$\longleftrightarrow$BZR1,MYB,BZR,MYB$\longleftrightarrow$BZR
60,filter1$\longleftrightarrow$filter174,371,MYB_tnt.MYB51_col_a_m1,0.00363722,MYBrelated_tnt.AT1G72740_colamp_a_m1,0.0196442,78.0,450.0,1136.0,1107.0,5.575255883076869e-70,1.5146325516349746e-69,MYB51,AT1G72740,MYB51$\longleftrightarrow$AT1G72740,MYB,MYBrelated,MYB$\longleftrightarrow$MYBrelated
61,filter1$\longleftrightarrow$filter176,373,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G40260_colamp_a_m1,0.00298049,180.0,138.0,3139.0,4191.0,1.1932454749043769e-35,1.479628943688088e-35,MYB51,AT2G40260,MYB51$\longleftrightarrow$AT2G40260,MYB,G2like,MYB$\longleftrightarrow$G2like
62,filter1$\longleftrightarrow$filter179,376,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G40260_colamp_a_m1,0.0140888,234.0,12.0,2552.0,3702.0,3.69670930975887e-104,2.7959860751459117e-103,MYB51,AT2G40260,MYB51$\longleftrightarrow$AT2G40260,MYB,G2like,MYB$\longleftrightarrow$G2like
63,filter1$\longleftrightarrow$filter182,379,MYB_tnt.MYB51_col_a_m1,0.00363722,C2C2dof_tnt.OBP3_colamp_a_m1,0.047583099999999996,252.0,90.0,2132.0,2140.0,1.9402268789208135e-106,1.5776788526093272e-105,MYB51,OBP3,MYB51$\longleftrightarrow$OBP3,MYB,C2C2dof,MYB$\longleftrightarrow$C2C2dof
64,filter1$\longleftrightarrow$filter185,382,MYB_tnt.MYB51_col_a_m1,0.00363722,MYB_tnt.MYB67_col_a_m1,0.0006108590000000001,180.0,48.0,1780.0,2626.0,1.7031590584812574e-114,1.812518329721987e-113,MYB51,MYB67,MYB51$\longleftrightarrow$MYB67,MYB,MYB,MYB$\longleftrightarrow$MYB
65,filter1$\longleftrightarrow$filter189,386,MYB_tnt.MYB51_col_a_m1,0.00363722,WRKY_tnt.WRKY6_col_a_m1,0.00227603,234.0,120.0,2102.0,3126.0,7.527536357268211e-57,1.447577437122142e-56,MYB51,WRKY6,MYB51$\longleftrightarrow$WRKY6,MYB,WRKY,MYB$\longleftrightarrow$WRKY
66,filter1$\longleftrightarrow$filter191,388,MYB_tnt.MYB51_col_a_m1,0.00363722,WRKY_tnt.WRKY31_col_a_m1,5.54258e-05,36.0,300.0,2836.0,3076.0,2.339254796957163e-179,2.3381751408970294e-177,MYB51,WRKY31,MYB51$\longleftrightarrow$WRKY31,MYB,WRKY,MYB$\longleftrightarrow$WRKY
67,filter1$\longleftrightarrow$filter195,392,MYB_tnt.MYB51_col_a_m1,0.00363722,AP2EREBP_tnt.AT1G12630_col_a_m1,3.77544e-05,246.0,24.0,1535.0,1062.0,2.2728568848961236e-60,4.785853567062103e-60,MYB51,AT1G12630,MYB51$\longleftrightarrow$AT1G12630,MYB,AP2EREBP,MYB$\longleftrightarrow$AP2EREBP
68,filter2$\longleftrightarrow$filter3,397,TCP_tnt.TCP1_col_a_m1,0.0272925,WRKY_tnt.WRKY31_col_a_m1,0.0319881,246.0,180.0,766.0,955.0,2.1874801348440876e-66,5.38233608637835e-66,TCP1,WRKY31,TCP1$\longleftrightarrow$WRKY31,TCP,WRKY,TCP$\longleftrightarrow$WRKY
69,filter2$\longleftrightarrow$filter5,399,TCP_tnt.TCP1_col_a_m1,0.0272925,HB_tnt.ATHB21_colamp_a_m1,0.0133756,6.0,114.0,431.0,1078.0,1.3375919872319203e-30,1.5419331336135181e-30,TCP1,ATHB21,TCP1$\longleftrightarrow$ATHB21,TCP,HB,TCP$\longleftrightarrow$HB
70,filter2$\longleftrightarrow$filter6,400,TCP_tnt.TCP1_col_a_m1,0.0272925,ZFHD_tnt.ATHB23_col_b_m1,0.00389481,18.0,48.0,764.0,1393.0,1.0417763372231315e-34,1.271184310815792e-34,TCP1,ATHB23,TCP1$\longleftrightarrow$ATHB23,TCP,ZFHD,TCP$\longleftrightarrow$ZFHD
71,filter2$\longleftrightarrow$filter10,404,TCP_tnt.TCP1_col_a_m1,0.0272925,C2C2dof_tnt.AT1G69570_colamp_a_m1,0.00711469,72.0,300.0,986.0,1440.0,6.875254201772478e-67,1.7147227082117383e-66,TCP1,AT1G69570,TCP1$\longleftrightarrow$AT1G69570,TCP,C2C2dof,TCP$\longleftrightarrow$C2C2dof
72,filter2$\longleftrightarrow$filter11,405,TCP_tnt.TCP1_col_a_m1,0.0272925,MYB_tnt.MYB51_col_a_m1,0.00725432,276.0,120.0,694.0,985.0,2.4082163785593027e-59,4.938040653779325e-59,TCP1,MYB51,MYB51$\longleftrightarrow$TCP1,TCP,MYB,MYB$\longleftrightarrow$TCP
73,filter2$\longleftrightarrow$filter13,407,TCP_tnt.TCP1_col_a_m1,0.0272925,TCP_tnt.TCP20_col_a_m1,0.00418335,78.0,108.0,346.0,368.0,5.105744706652487e-22,5.402609667609318e-22,TCP1,TCP20,TCP1$\longleftrightarrow$TCP20,TCP,TCP,TCP$\longleftrightarrow$TCP
74,filter2$\longleftrightarrow$filter14,408,TCP_tnt.TCP1_col_a_m1,0.0272925,WRKY_tnt.WRKY31_col_a_m1,0.00969694,234.0,240.0,532.0,630.0,1.4355474173418167e-40,1.933807084899396e-40,TCP1,WRKY31,TCP1$\longleftrightarrow$WRKY31,TCP,WRKY,TCP$\longleftrightarrow$WRKY
75,filter2$\longleftrightarrow$filter16,410,TCP_tnt.TCP1_col_a_m1,0.0272925,HB_tnt.ATHB40_col_a_m1,0.024899599999999997,198.0,114.0,827.0,1191.0,1.3140175212178921e-77,4.400842391980424e-77,TCP1,ATHB40,TCP1$\longleftrightarrow$ATHB40,TCP,HB,TCP$\longleftrightarrow$HB
76,filter2$\longleftrightarrow$filter19,413,TCP_tnt.TCP1_col_a_m1,0.0272925,C2H2_tnt.AtIDD11_col_a_m1,0.000899688,66.0,72.0,585.0,909.0,1.8993255823631202e-38,2.467243488676036e-38,TCP1,AtIDD11,TCP1$\longleftrightarrow$AtIDD11,TCP,C2H2,TCP$\longleftrightarrow$C2H2
